Job_Title,Company,Job_Type,Job_place,City,Country,Days
AI Engineer - Travel Tech,Rahala -,Full Time,On-site,Giza,Egypt,6 days ago
MLOps + AI Engineer,Confidential -,Full Time,On-site,Cairo,Egypt,8 minutes ago
Software Engineer (AI & Data Analytics),AlZamel for consultation -,Full Time,On-site,Cairo,Egypt,7 days ago
AI Engineering Manager,Link Development -,Full Time,Hybrid,Cairo,Egypt,8 days ago
AI Software Engineer,TechJump -,Full Time,Hybrid,Cairo,Egypt,4 days ago
AI Engineer,ProVision Group -,Full Time,Hybrid,Cairo,Egypt,2 days ago
AI Engineer (LLM / NLP),Avanguard -,Part Time,Remote,Cairo,Egypt,7 days ago
Generative AI & Digital Marketing Intern (Engineering Consultancy),East Consultants -,Freelance / Project,Remote,Cairo,Egypt,4 days ago
AI Engineer,AgChat -,Full Time,Remote,Cairo,Egypt,7 days ago
AI Trainer Technical Track Engineers & Developers,Avanguard -,Internship,Remote,Cairo,Egypt,7 days ago
Senior AI Engineer,Link Development -,Full Time,Hybrid,Cairo,Egypt,6 days ago
Product Manager – Data & AI Products,HiRemoters -,Full Time,Remote,Cairo,Egypt,3 days ago
Django Backend Developer & AI Integration Engineer,ScribeMe -,Full Time,Remote,Cairo,Egypt,7 days ago
AI Project Manager,Arabian Data -,Full Time,On-site,Cairo,Egypt,7 days ago
AI Trainer High School & Early Learners,Avanguard -,Part Time,Remote,Cairo,Egypt,3 days ago
AI Trainer Consultant & Trainer Track,Avanguard -,Full Time,Remote,Cairo,Egypt,8 days ago
AI Trainer Business & Functional Leaders Track,Avanguard -,Full Time,Remote,Cairo,Egypt,8 days ago
Integration Engineer (Automation),Confidential -,Full Time,Remote,Assiut,Egypt,7 days ago
Graduate Internship: Enterprise Software Engineering,eT3 - Tomorrow Information Technology -,Full Time,Hybrid,Cairo,Egypt,2 days ago
"AI Engineer (Computer Vision, Speech, NLP & Generative AI)",Madar Soft -,Freelance / Project,Remote,Alexandria,Egypt,3 days ago
Enterprise Data Warehouse and Business intelligence Engineer (Microsoft Technology SSIS-SSAS),"The Micro, Small & Medium Enterprise Development Agency  -",Internship,On-site,Giza,Egypt,4 days ago
MLOps Engineer,Confidential -,Full Time,On-site,Cairo,Egypt,6 days ago
Mechanical Technical Office Engineer,ElBattat Steel -,Full Time,On-site,Beheira,Egypt,6 days ago
AI Engineer - Client Engineering KSA,IBM -,Full Time,On-site,Riyadh,Saudi Arabia,8 days ago
Automation Engineer,Creative Motion -,Full Time,On-site,Cairo,Egypt,8 days ago
Business AI Coordinator, Roaya -,Full Time,On-site,Cairo,Egypt,21 hours ago
Senior UI/UX Designer,Bydotpy -,Full Time,Remote,Cairo,Egypt,3 days ago
Technical Support Engineer,Vijua -,Full Time,On-site,Giza,Egypt,8 days ago
Senior Product Manager - Gen AI,EPAM Systems -,Full Time,Remote,Dubai,United Arab Emirates,8 days ago
Product Design Lead - AI Assistant & Conversational UX(Bangkok - Based),Agoda -,Full Time,On-site,Dubai,United Arab Emirates,7 days ago
Graphic & Social Media Specialist /A&I Design Company,WRIGHT PLAN -,Part Time,Remote,Cairo,Egypt,5 days ago
"Partner Sales Director - Azure, Data & AI",EPAM Systems -,Full Time,Hybrid,Dubai,United Arab Emirates,7 days ago
"Principal Product Manager, LearnWith.AI (Remote) - $200,000/year USD",Trilogy -,Full Time,Hybrid,Dubai,United Arab Emirates,1 day ago
Backend Developer,Confidential -,Full Time,On-site,Cairo,Egypt,7 days ago
Quality Control Engineer (Substations division),Energya Cables -,Part Time,On-site,Cairo,Egypt,8 days ago
Senior Android Developer,Madar Soft -,Freelance / Project,Hybrid,Alexandria,Egypt,10 minutes ago
BMS Senior Engineer,Advansys Intelligent Solutions -,Full Time,Remote,Cairo,Egypt,4 days ago
Azure AI Solution Architect,EPAM Systems -,Full Time,On-site,Dubai,United Arab Emirates,7 days ago
"Software Developer (ERP, Mobile Apps & Data Integration)",iLock -,Full Time,Remote,Cairo,Egypt,7 days ago
Senior Backend Developer,Billqode -,Full Time,On-site,Cairo,Egypt,1 day ago
Technical Lead,Billqode -,Full Time,Remote,Cairo,Egypt,2 days ago
Software Development Manager,Confidential -,Full Time,On-site,Giza,Egypt,3 days ago
Software Developer,American Global Health Inc. -,Full Time,Hybrid,Los Angeles,United States,4 days ago
Senior Flutter Developer,Sulfah -,Full Time,Hybrid,Cairo,Egypt,7 days ago
Signal Integrity & RF Systems Engineer,Ottawave -,Full Time,On-site,Cairo,Egypt,8 days ago
Testing Engineer,OPPO Egypt  Manufacturing -,Full Time,Unknown,Cairo,Egypt,Unknown
Backend Engineer (Python) - EdTech Startup,Darsel -,Full Time,Unknown,Cairo,Egypt,Unknown
Network Instructor,MICA -,Full Time,Unknown,Giza,Egypt,Unknown
Senior Laravel Developer,34ML -,Internship,Unknown,Cairo,Egypt,Unknown
Chief Technology Officer,Confidential -,Full Time,Unknown,Cairo,Egypt,Unknown
Software Marketing Manager,LINK TSP -,Full Time,Unknown,Cairo,Egypt,Unknown
IT Engineer,Sumitomo Electric Egypt -,Full Time,Unknown,Giza,Egypt,Unknown
